title,author,publisher,year_published,ISBN,category,description,image
Ayat - Ayat Cinta,Habiburrahman El-Shirazy,Republika-Basmala,2004,9789832672364 (ISBN10: 9832672368),Novel,"Tentang seorang pemuda Indonesia yang mencari ilmu jauh di tanah Arab. Berbekal iman yang kuat dan ketabahan, Fahri mengalami banyak hal yang menggetarkan hidupnya, yang sesaat membuat Fahri mempertanyakan jalan hidupnya.

Kesabaran dan keimanan adalah kunci kehidupan. Fahri, Aisyah dan Maria membuktikannya dalam cerita yang halus dan mengalir.

Ayat - ayat cinta ini membuat angan kita melayang - layang ke negeri seribu menara dan merasakan pelangi akhlak yang menghiasi pesona - pesonanya. Sungguh sebuah cerita yang layak dibaca dan disosialisasikan pada para pemburu bacaan popular yang sudah tidak mengindahkan akhlak sebagai menu utamanya.",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1439347437i/969177.jpg
Hafalan Shalat Delisa,Tere Liye,Republika,2005,9789793210605 (ISBN10: 9793210605),Novel,"Delisa anak perempuan yang bermata hijau, bening dan umurnya baru mencecah lima tahun. Dia hidup dalam keluarganya yang sebegitu, dia cuba menghafal bacaan dalam solat dengan bantuan ibu dan kakaknya.

Namun Tuhan lebih tahu apa yang lebih baik untuk hamba - Nya. Tsunami datang melumatka senyuman pada wajah Delisa. Tsunami mengambil segala - galanya, keluarga juga kaki kecilnya. Yang tersisa, hanya dia dan ayahnya, dan dalam keadaan sebegitu apakah Delisa mampu tetap tersenyum seperti dahulu dan menyudahkan hafalannya?",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1303475676i/1376220.jpg
Sitti Nurbaya: Kasih Tak Sampai,Marah Rusli,Balai Pustaka,1922,(ISBN10: 9794071676),Sastra,"Marah Rusli adalah contoh sastrawan besar Indonesia yang benar - benar melampaui zamannya. Ia terus hidup, bersama keindahan cinta Sitti Nurbaya dan Samsulbahri, bersama kenangan dan kebencian orang - orang terhadap peringai Datunk Meringgih yang licik, akan tetapi sekaligus memesona.

Berkali - kali buku Sitti Nurbaya dibaca, berkali - kali pula ditemukan keindahan yang berbeda. Berkali - kali novel ini diperbincangkan, berkali - kali pula ditemukan misteri yang tak sama. Benarkah Samsulbahri adalah tokoh yang baik? Mengapa Datuk Meringgih yang digambarkan jahat pada akhir cerita menjadi patriot yang membela tanah air, dan kemudian wafat dengan darah membasahi ibu pertiwi? Siapakah sesungguhnya yang menjadi pahlawan?

Inilah novel tentang cinta yang indah, tentang patriotisme, dan tentang perjuangan nilai - nilai kemanusiaan yang selalu ada pada tiap zaman. Karena itulah, novel ini menjadi abadi.

Joni Ariadinata, redaktur Majalah Horison


Apabila kita membaca kembali novel Sitti Nurbaya karya Marah Rusli maka sangat boleh jadi kita akan menemukan makna - makna baru.

Maman S. Mahayana, Kritikus Sastra",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1514787378i/1492432.jpg
Bidadari Bidadari Surga,Tere Liye,Republika,2008,9789791102261 (ISBN10: 9791102260),Novel,"Bidadari - Bidadari Surga bercerita tentang pengorbanan seorang kakak (Laisa) untuk adik - adiknya (Dalimunte, Ikanuri, Wibisana dan Yashinta) di Lembah Lahambay agar adik - adiknya dapat melanjutkan pendidikan mereka, meski ia harus bekerja di terik matahari setiap hari, mengolah gula aren setiap jam 4 pagi serta dimalam hari menganyam rotan, meski pada dasarnya keempat adik - adiknya tersebut berasal dari darah yang berbeda dengan dirinya.

Satu sisi Laisa digambarkan sebagai kakak yang galak dan tegas, mengejar - ngejar adiknya yang bolos sekolah dengan rotan dan ranting kayu. Di sisi lain, kontradiktif dengan fisiknya yang gempal, gendut, berkulit hitam, wajah yang tidak proporsional ditambah dengan rambut gimbal serta ukuran tubuhnya yang tidak normal, lebih pendek, Laisa sesungguhnya tipe kakak yang mendukung adik - adiknya, rela mengorbankan diri untuk keselamatan ‘dua anak nakal’ Ikanuri dan Wibisana dari siluman Gunung Kendeng, serta mati - matian mencari obat bagi kesembuhan adiknya Yashinta yang diserang demam panas hingga kejang pada suatu malam.

Dia bersumpah akan memberikan kesempatan pada adik - adiknya untuk menjadi orang - orang hebat. Sumpah yang membuat terang benderang seluruh kisah ini. Laisa menyimpan seluruh pengorbanannya seorang diri hingga detik terakhir hidupnya. saat empat adik - adiknya pulang secepat mungkin ke lembah lahambay yang indah, menemui kakak yang membutuhkan mereka untuk pertama kali sekaligus terakhir kali seumur hidupnya",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1303476056i/3971237.jpg
Ketika Cinta Bertasbih: Episode 1,Habiburrahman El-Shirazy,Republika,2007,9789793210841,Novel,"Entah kenapa tiba - tiba ia merasa berdosa. Ia merasa berdosa dan jijik pada dirinya sendiri yang begitu rapuh, mudah terperdaya oleh tampilan luar yang menipu. Ia jijik pada dirinya sendiri yang ia rasa terlalu cair pada lawan jenis yang belum halal baginya. Ia hairan sendiri kenapa jati dirinya seolah pudar saat berhadapan atau berdekatan dengan Eliana. Apakah telah sedemikian lemah imannya sehingga kecantikan jasadi telah sedemikian mudah menyihir dirinya. la beristighfar dalam hatinya. Berkali - kali ia meminta ampun pada Dzat yang menguasai hatinya.

Azzam meratapi kekhilafannya dan memarahi dirinya sendiri. Dalam hati ia bersumpah akan lebih menjaga diri, dan hal yang menistakan seperti itu tidak boleh terjadi lagi. la juga bersumpah untuk segera menemukan orang yang tidak kalah hebatnya dengan Eliana, tapi bertudung litup, solehah, boleh berbahasa Arab dan berbahasa Inggeris dengan fasih. Kalau terpaksa gadis itu orang Mesir tidak mengapa. Yang jelas rasa terhinanya harus ia simakan.

la harus menemukan kembali kehormatannya sebagai seorang Azzam yang memiliki harga diri. Meskipun masyarakat Indonesia di Mesir mengenalinya hanya sebagai tukang masak atau penjual tempe, tapi harga diri dan kesucian diri tidak boleh diremehkan oleh siapapun juga. la yakin akan memperolehi isteri yang lebih jelita dari Eliana, dan lebih balk darinya. Ia yakin itu tekadnya. Ia ulang - ulang tekad itu dalam hatinya. Ia rajut dengan doa. Ia bawa tekad itu ke dalam tidurnya. Ke dalam mimpinya. Dan ke dalam alam bawah sedarnya.",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1489046749i/1456628.jpg
Di Bawah Lindungan Ka'bah,Hamka,Bulan Bintang,1938,9789794180631 (ISBN10: 9794180637),Novel,"... Maksud yang engkau terangkat itu, amat saya setujui, itulah suatu maksud yang baik, sebab itu adalah suatu hikayat dan kejadian yang mendukakan hati dan merawankan pikiran, yang kerap kali benar kejadian dalam kalangan pemuda - pemudi kita.

... Demi bila buku itu telah selesai, kirimkanlah kiranya kepadaku barang senaskah, guna menghidangkan kenang - kenanganku kepada masa yang telah lampau, semasa kita masih bernaung DI BAWAH LINDUNGAN KA'BAH",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1484377793i/1645513.jpg
Rectoverso,Dee Lestari,Goodfaith,2008,9789799625748 (ISBN10: 9799625742),Fiksi,"Dewi Lestari yang bernama pena Dee, kali ini hadir dengan mahakarya unik dan pertama di Indonesia. ""Rectoverso"" merupakan hibrida dari fiksi dan musik, terdiri dari sebelas cerita pendek dan sebelas lagu yang bisa dinikmati secara terpisah maupun bersama - sama. Keduanya saling melengkapi bagaikan dua imaji yang seolah berdiri sendiri tapi sesungguhnya merupakan satu kesatuan. Inilah cermin dari dua dunia Dewi Lestari yang ia ekspresikan dalam napas kreativitas tunggal bertajuk ""Rectoverso"". Dengar fiksinya. Baca musiknya. Lengkapi penghayatan anda dan temukanlah sebuah pengalaman baru.",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1222564447i/4815886.jpg
Habis Gelap Terbitlah Terang,Arjimin Pane,Balai Pustaka,2008,9794070637,NonFiksi,"Buku ini berisi/menceritakan perjalanan hidup seorang pahlawan wanita R.A Kartini, dan surat - suratnya yang ia tujukan kepada saudari dan sahabat - sahabatnya. Adapun isi dari surat - surat itu adalah tentang cita - citanya untuk memajukan kaum wanita, harapan - harapannya dan perjalanan hidupnya",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1220433958i/4526775.jpg
Tenggelamnya Kapal Van Der Wijck,Hamka,Pustaka Dini,1937,9789679370256 (ISBN10: 9679370259),Novel,"Cerita ini berkisar tentang semangat juang Zainuddin, bagaimana merana dan melaratnya hidup Zainuddin setelah cintanya ditolak oleh keluarga Hayati. Kemudian beliau bangun semula dari segala kedukaan, membuka lembaran baru dalam hidupnya menjadi seorang penulis yang ternama dan berjaya. Ia menceritakan tentang kesetiaan, cinta dan kasihnya Zainuddin terhadap Hayati. Meski Hayati sudah berkahwin tetapi sebaik mendapat tahu tentang kesusahan yang dihadapi Hayati, lantaran suaminya yang suka berpoya - poya serta tidak bertanggung - jawab, Zainuddin terus membantu tanpa ada dendam dan benci. Sesungguhnya cinta yang suci itu akan terus mekar di dalam hati hingga ke hujung nyawa begitulah jua cinta antara Zainuddin dan Hayati.",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1468645608i/1307394.jpg
Hujan Bulan Juni,Sapardi Djoko Damono,Grasindo,1994,B0DLT6ZMK2,Puisi,"Hujan Bulan Juni pertama kali diterbitkan oleh Grasindo tahun 1994 dan telah dicetak ulang beberapa kali. Tidak ada perubahan penting dalam buku terbitan editum ini, kecuali penambahan dan penghapusan beberapa sajak berdasarkan pertimbangan praktis. Sajak - sajak dalam buku ini dipilih dari beberapa buku puisi yang pernah terbit sebelumnya, yakni duka - Mu abadi (1969), Mata Pisau (1974), Akuarium (1974), dan Perahu Kertas (1983), ditambah dengan beberapa sajak yang tidak sempat masuk ke dalam buku - buku tersebut, yang ditulis tahun 1964 - 1994. Sajak - sajak yang tidak dimasukkan ke dalam bunga rampai ini diterbitkan waktunya bersamaan waktunya dengan judul Mata Jendela, yang pernah diterbitkan oleh IndoneSiatera tahun 2001, yang memuat sajak - sajak yang ditulis tahun 1958 - 2001.",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1464443303i/1441445.jpg
Kambing Jantan: Sebuah Catatan Harian Pelajar Bodoh,Raditya Dika,Gagas Media,2005,9789793600697 (ISBN10: 9793600691),Komedi,"KAMBING JANTAN adalah kumpulan cerita sehari - hari yang kouyoi dan unik dari kehidupan Raditya Dika (Radit), mahasiswa hasil peranakan orang Batak dengan mesin jahit. Format yang ditampilkan adalah format diary, karena buku ini adalah kumpulan dari diary dia yang diterbitkan di internet (blog). Semua kisah lucu di daiamnya merupakan kisah nyata dari tahun 2002 - 2004.

Esok paginya, ternyata jerawat gw makin banyak!! Tidakkkk... rupanya ada yang infeksi gitu soalnya si tukang salon salah ngasih obat... Nyokap gw langsung panik... mulai saat itu, dia bersiin muka gw pake lotion ama toner pembersih setiap malam.... Ajaibnya, setiap kali dibersihin ama dia, paginya pasti jerawat gw berkurang banyak sekali!!!

Selidik punya selidik, gw bertanya pada sang mama...
Gw : Ma, kok jerawatnya ilang banyak banget sih? Lotionnya bagus yah?
Nyokap : Wahhh..., rahasianya bukan di krim atau tonernya, Kung....
Gw : Trus?
Nyokap : Rahasianya tuh pada kain yang Mama pake buat bersihin muka kamu!

Pas gw ngeliatin",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1406103629i/1242729.jpg
